City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Kurilsk,RU,50.6789,156.125,31.21,65,94,25.28,overcast clouds
1,Sibinal,GT,15.1333,-92.05,49.71,99,100,0.96,heavy intensity rain
2,Cotoca,BO,-17.8167,-63.05,95.45,26,1,12.66,clear sky
3,Plettenberg Bay,ZA,-34.0527,23.3716,65.91,82,56,7.27,broken clouds
4,Maningrida,AU,-12.0667,134.2667,76.53,90,100,5.86,overcast clouds
5,Marawi,PH,7.9986,124.2928,67.48,93,58,1.39,broken clouds
6,Alofi,NU,-19.0595,-169.9187,82.29,61,75,12.66,broken clouds
7,Lebu,CL,-37.6167,-73.65,60.55,79,8,15.52,clear sky
8,Hermanus,ZA,-34.4187,19.2345,68.81,80,6,9.51,clear sky
9,Andros Town,BS,24.7,-77.7667,80.56,73,76,11.27,broken clouds
10,Saldanha,ZA,-33.0117,17.9442,68.5,59,77,5.41,broken clouds
11,Torbay,CA,47.6666,-52.7314,42.76,97,100,20.71,mist
12,Haines Junction,CA,60.7522,-137.5108,0.48,90,64,3.62,broken clouds
13,Ushuaia,AR,-54.8,-68.3,62.26,36,40,14.97,scattered clouds
14,Cabo San Lucas,MX,22.8909,-109.9124,81.61,56,0,8.05,clear sky
15,Norman Wells,CA,65.282,-126.8329,-7.33,96,100,4.81,overcast clouds
16,Kloulklubed,PW,7.0419,134.2556,79.3,78,87,19.82,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,73.87,78,44,8.28,light rain
18,Oltedal,NO,58.831,6.0466,46.58,78,100,24.65,light rain
19,Barrow,US,71.2906,-156.7887,-16.58,76,0,10.36,mist
20,Kuryk,KZ,43.2,51.65,45.97,73,98,3.53,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,76.37,64,15,1.99,few clouds
22,Hithadhoo,MV,-0.6,73.0833,80.69,75,24,7.9,few clouds
23,Cowra,AU,-33.8333,148.6833,58.86,60,0,8.75,clear sky
24,Illapel,CL,-31.6308,-71.1653,71.92,60,0,7.02,clear sky
25,Carson City,US,39.1638,-119.7674,50.83,33,75,17.27,broken clouds
26,Kirkuk,IQ,35.4681,44.3922,59.81,38,21,6.13,few clouds
27,Punta Arenas,CL,-53.15,-70.9167,57.31,51,40,29.93,scattered clouds
28,Saskylakh,RU,71.9167,114.0833,-15.59,94,100,4.54,overcast clouds
29,Nueva Gorgona,PA,8.55,-79.8667,79.21,95,100,4.18,light rain
30,Chuy,UY,-33.6971,-53.4616,69.26,85,3,12.46,clear sky
31,Paamiut,GL,61.994,-49.6678,37.63,70,100,27.94,overcast clouds
32,Saint George,US,37.1041,-113.5841,54.43,32,0,3.0,clear sky
33,Antofagasta,CL,-23.65,-70.4,65.48,77,55,6.22,broken clouds
34,Baykit,RU,61.67,96.37,-6.25,97,100,4.43,overcast clouds
35,Rawson,AR,-43.3002,-65.1023,77.09,52,58,15.55,broken clouds
36,Kodiak,US,57.79,-152.4072,29.71,86,100,8.05,snow
37,Christchurch,NZ,-43.5333,172.6333,66.4,55,20,4.61,few clouds
38,Jinchang,CN,38.4953,102.1739,6.48,28,69,9.42,broken clouds
39,Port Alfred,ZA,-33.5906,26.891,66.18,86,8,7.0,clear sky
40,Trindade,BR,-16.6494,-49.4889,67.75,72,65,5.77,broken clouds
41,Albany,US,42.6001,-73.9662,40.33,73,72,10.96,broken clouds
42,Tiksi,RU,71.6872,128.8694,-27.96,99,48,7.09,scattered clouds
43,Busselton,AU,-33.65,115.3333,60.3,64,0,12.97,clear sky
44,Vaini,TO,-21.2,-175.2,84.36,79,75,12.66,broken clouds
45,Vredendal,ZA,-31.6683,18.5012,66.42,66,79,7.38,broken clouds
46,Shelburne,CA,44.0787,-80.2041,31.77,79,89,4.07,overcast clouds
47,Itaueira,BR,-7.6033,-43.0256,71.65,95,100,2.04,overcast clouds
48,Kaeo,NZ,-35.1,173.7833,69.33,74,94,7.54,overcast clouds
49,Ilulissat,GL,69.2167,-51.1,14.02,52,40,3.44,scattered clouds
50,Bluff,NZ,-46.6,168.3333,59.81,78,100,8.72,light rain
51,Jamestown,US,42.097,-79.2353,36.99,65,100,9.22,overcast clouds
52,Katsuura,JP,35.1333,140.3,67.57,67,100,23.62,overcast clouds
53,Bredasdorp,ZA,-34.5322,20.0403,63.61,92,50,6.44,scattered clouds
54,Khatanga,RU,71.9667,102.5,-11.24,97,100,8.3,overcast clouds
55,Asau,RO,46.4333,26.4,31.28,92,100,1.54,overcast clouds
56,San Quintin,MX,30.4833,-115.95,62.76,69,21,10.69,few clouds
57,Fortuna,US,40.5982,-124.1573,51.93,85,75,11.5,broken clouds
